# CSV-File created with merge-csv.com
# -----------------------------------------------------------

News_Headline,News Url,Image Url,image_name,Class
ഇതാണ്. UP മാത്റുക. …,https://www.facebook.com/photo.php?fbid=1860582023973592&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/31939581_1860582027306925_7933692206538293248_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=LPHKleq65-oAX-rtCTP&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfALQiS-xKYGtNWTif6aLj0zq3T5goAv7Nfzvs5Hvk2J-g&oe=6509D02F,image1176.png,0
ചെന്നിത്തലയ്ക്കു വിഷമമുണ്ടായെങ്കില്‍ പരിഹരിക്കും: കെ.സി. വേണുഗോപാൽ,https://www.manoramaonline.com/news/latest-news/2023/08/21/k-c-venugopal-s-reaction-on-congress-working-committee-list.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/just-in/images/2023/8/21/kcvenu-chennithala.jpg.image.396.206.jpg,image1518.png,1
ഒറ്റമൂലി ! മൂക്കിലൂടെ നാരങ്ങാനീര് ഒഴിച്ചാല്‍ സൈനസൈറ്റിസ് മാറും';,https://www.asianetnews.com/health/can-putting-lemon-into-nostrils-cure-sinusitis-here-is-the-truth-fact-check-vkv-ry3eyf,https://static-ai.asianetnews.com/images/01h57r5mzf8dvm7frznm9qsm41/whatsapp-image-2023-07-12-at-19-54-08_573x321xt.jpg,image67.png,0
27 ആഴ്ചയായ ഗർഭം അലസിപ്പിക്കാൻ അതിജീവിതയ്ക്ക് അനുമതി; കുഞ്ഞിനെ ജീവനോടെ പുറത്തെടുത്താൽ സംരക്ഷിക്കണം,https://www.manoramaonline.com/news/latest-news/2023/08/21/supreme-court-permits-abortion-to-rape-survivor-from-gujarat.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/just-in/images/2022/9/14/supreme-court.jpg.image.396.206.jpg,image1503.png,1
"സിപിഎമ്മിന് എന്റെ സ്വത്തുവിവരം പരിശോധിക്കാം, കണക്ക് അറിയാവുന്നവരെ വിടണം: കുഴൽനാടൻ",https://www.manoramaonline.com/news/latest-news/2023/08/17/mathew-kuzhalnadan-reaction-on-land-and-money-laundering-issues.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/kerala/images/2023/8/11/mathew-kuzhalnadan-1.jpg.image.396.206.jpg,image534.png,1
കണ്ണൂരില്‍ മിനി ലോറിയും ബൈക്കും കൂട്ടിയിടിച്ച് രണ്ട് പേര്‍ മരിച്ചു,https://www.manoramanews.com/news/kerala/2023/08/20/kannur-accidents.html,https://img.manoramanews.com/content/dam/mm/mnews/news/kerala/images/2023/8/20/accident.jpg.image.260.136.jpg,image1356.png,1
"വാട്ട്‌സ്ആപ്പിൽ HD ഫോട്ടോസ്, വീഡിയോ ഷെയർ ഓപ്‌ഷൻ വരുന്നു...",https://malayalam.indiatoday.in/tech/story/hd-photos-and-video-sharing-option-coming-to-whatsapp-636307-2023-08-18,https://akm-img-a-in.tosshub.com/lingo/itml/images/story/202308/whatsapp_7-sixteen_nine.jpg?size=176:98,image1249.png,1
കൊച്ചി : നടിയെ ആക്രമിച്ച കേസുമായി ബന്ധപ്പെട്ടു ശത്രു സംഹാര പൂജ നടത്താൻ എത്തിയ ദിലീപ് കാവ്യ ദമ്പതികളുടെ വരവോടെ കൊടുങ്ങല്ലൂർ ക്ഷേത്രത്തിൽ ശത്രു സംഹാര പൂജ ചെയ്യാൻ വൻ ജനത്തിരക്ക് ,https://www.facebook.com/ManjaPathramOnline/photos/pb.100071359653735.-2207520000./1576595662392496/?type=3,https://scontent-bom1-1.xx.fbcdn.net/v/t1.18169-9/19731882_1576595662392496_5723532678371845461_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=9267fe&_nc_ohc=H6zXHCSj3q0AX8Agkmz&_nc_ht=scontent-bom1-1.xx&oh=00_AfDKKRmTsFDH7F1UIpAlBM2bsn7XuwEHCR2K_tQUO3PL8g&oe=6506ACE0,image423.png,0
ട്രെയിനിടിച്ച് ആനകളുടെ മരണം; ഒഴിവാക്കാന്‍ സാങ്കേതിക വിദ്യയുമായി റെയില്‍വേ,https://www.manoramanews.com/news/india/2023/08/19/east-coast-railway-to-install-ids-to-prevent-elephant-accidents-in-railway-tracks.html,https://img.manoramanews.com/content/dam/mm/mnews/news/india/images/2023/8/19/elephant crossing rail.jpg.image.260.136.jpg,image1305.png,1
"ബ്രഹ്മദത്തന്‍ നോക്കിനില്‍ക്കെ ഉടലുനിറയെ കൈകളുമായി സുഭദ്ര""",https://www.facebook.com/maydayhub/photos/pb.100067516081858.-2207520000./1556459697907513/?type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.18169-9/10614394_1556459697907513_5927967867559630099_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=174925&_nc_ohc=5uV_-bVBB3UAX8fLXl7&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfBjCfYOqcuRGkmq_X_yPuRG9M0uO3ujCmvp1zHdLqnl4w&oe=6506BF70,image240.png,0
"കൈ കൊണ്ട് തൊടാത്ത 'മാസപ്പടി', രാഹുലിൻ്റെ ട്വൻ്റി 20, കോൺഗ്രസിൻ്റെ സെഞ്ചുറി മോഹം, പിന്നെ കനിമൊഴിയുടെ പരിശ്രമം",https://www.asianetnews.com/india-news/india-latest-news-asianet-news-political-gossip-column-from-the-india-gate-asd-rzcjpk,https://static-ai.asianetnews.com/images/01h74zyght5y5f3mdza0zp55dh/from-the-india-gate-1691311096378_573x321xt.jpg,image85.png,1
ഉമ്മന്‍ ചാണ്ടിയുടെ സ്തൂപം തകര്‍ത്ത സംഭവത്തില്‍ പിടികൂടിയത് യൂത്ത് കോണ്‍ഗ്രസ് പ്രവര്‍ത്തകനെ എന്ന പേരില്‍ പ്രചരിക്കുന്ന വാര്‍ത്ത,https://www.malayalam.factcrescendo.com/false-news-screenshot-in-the-name-of-24-claims-youth-congress-worker-arrested-for-destroying-ummen-chandi-memorial-stupa/,https://www.malayalam.factcrescendo.com/wp-content/uploads/2023/08/image-27.png,image900.png,0
"ഇന്ത്യക്ക് സൗജന്യമായി കിട്ടിയ ഓക്സിജൻ
റിലൈൻസ് കമ്പനി സ്റ്റിക്കർ ഒട്ടിച്ചു കടത്തി
കൊണ്ടു പോയി ...
അടുത്ത തവണ സ്റ്റിക്കർ ഉണ്ടാകുമ്പോൾ ടാങ്കർ മുഴുവൻ മറയുന്ന വിധം ഉണ്ടാക്കണം എന്ന് കേന്ദ്രം റിലയൻസിനു നിർദേശം നൽകണം..",https://www.facebook.com/photo.php?fbid=4217834038248367&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/183736807_4217834044915033_7524388545199425777_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=OZlb7WqGVksAX9FGFJV&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfCkVZ9gj4aCixCsXiLL1zWUNwYsALizmqRCC8hvVrLbrA&oe=6509415B,image994.png,0
"എന്റെ തല, ഫുൾഫിഗർ മതി; ആദ്യ ഓവര്‍ വേണം, സഞ്ജുവിനെ മാറ്റി ബാറ്റിങ്; പാണ്ഡ്യയുടെ പിടിവാശികൾ...",https://www.manoramaonline.com/sports/cricket/2023/08/15/hardik-pandya-s-plans-against-west-indies-t20-series.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/just-in/images/2023/8/8/hardik-pandya-team-india.jpg.image.845.440.jpg,image330.png,1
ജാഗ്രത ഇല്ലാതാക്കുന്ന വ്യാജവിവരങ്ങളുടെ വ്യാപനം തടയണമെന്ന് ഉപരാഷ്‌ട്രപതി,https://malayalam.news18.com/news/india/covid-19-vice-president-wants-action-against-fake-news-in-social-media-new-ar-225093.html,"https://images.news18.com/malayalam/uploads/2018/08/venkaiah-naidu11.jpg?im=Resize,width=540,aspect=fit,type=normal",image387.png,1
പാർട്ടി മെമ്പർഷിപ് എടുത്താൽ ഇതാണ് ഗതി …,https://www.facebook.com/photo.php?fbid=4038155346216238&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/158985360_4038155349549571_8630091097350466022_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=Nu8nl2Jv0q4AX_PYuAl&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfA-BNH1Wn2zYoxk4-Q4yXvvm_HDiwdCt4cwjY81Dlld3w&oe=65092D2E,image1011.png,0
ബോളിവുഡ് താരം ഷാറൂഖ് ഖാൻ പാക്കിസ്ഥാന് 45 കോടി സംഭാവന,https://malayalam.samayam.com/latest-news/fact-check/fake-alert-shah-rukh-khan-did-not-donate-45-crore-rupees-to-pakistan/articleshow/68081607.cms,https://malayalam.samayam.com/thumb/68081615/shah-rukh-khan-68081615.jpg?imgsize=28638&width=700&height=525&resizemode=75,image809.png,0
വൃത്തിഹീനമായ വിമാനം എയര്‍ ഇന്ത്യയുടേത്,https://malayalam.samayam.com/latest-news/fact-check/video-of-littered-flight-cabin-is-not-hajj-service-of-air-india-this-is-the-truth/articleshow/70174765.cms,https://malayalam.samayam.com/thumb/70175162/addis-70175162.jpg?imgsize=60669&width=700&height=525&resizemode=75,image843.png,0
യുവാവിനെ വിളിച്ചുവരുത്തി ഗുണ്ടകൾ മർദിച്ചു കൊന്നു; പിന്നിൽ വിവാഹവീട്ടിൽ ബോംബെറിഞ്ഞ കേസ് പ്രതി,https://www.manoramaonline.com/news/kerala/2023/08/18/youth-was-summoned-and-beaten-to-death-by-the-goondas.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/just-in/images/2023/8/18/sreejith-attingal-death.jpg.image.396.206.jpg,image509.png,1
